target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	18	13.7433
YAL002W	3805	3782	6	4.16683
YAL003W	601	578	342	1554.08
YAL005C	1909	1886	2854.2	3974.84
YAL007C	628	605	13	56.437
YAL008W	577	554	27	128.006
YAL009W	760	737	1	3.56376
YAL010C	1462	1439	8	14.6018
YAL011W	1858	1835	15	21.47
YAL012W	1165	1142	187	430.082
YAL013W	1198	1175	14	31.2944
YAL014C	748	725	11	39.8502
YAL015C	1180	1157	1	2.27009
YAL016W	1888	1865	95	133.789
YAL017W	4051	4028	47	30.6467
YAL018C	958	935	0	0
YAL019W	3376	3353	21	16.4498
YAL020C	982	959	2	5.47756
YAL021C	2494	2471	38	40.3912
YAL022C	1534	1511	14	24.3355
YAL023C	2260	2237	60	70.4468
YAL024C	4288	4265	7	4.31077
YAL025C	901	878	16	47.8632
YAL026C	4048	4025	22	14.356
YAL027W	766	743	3	10.6049
YAL028W	1567	1544	2	3.40219
YAL029C	4396	4373	20	12.0123
YAL030W	334	311	14	118.234
YAL031C	2263	2240	19	22.2783
YAL032C	1120	1097	15	35.9137
YAL033W	502	479	3	16.4498
YAL034C	1222	1199	124	271.63
YAL034W-A	850	827	4	12.7037
YAL035W	2989	2966	90	79.698
YAL036C	1090	1067	18	44.3082
YAL037C-A	73	50	0	0
YAL037W	784	761	1	3.45137
YAL038W	1483	1460	2537	4563.98
YAL039C	790	767	36	123.277
YAL040C	1723	1700	25	38.6249
YAL041W	2545	2522	11	11.4558
YAL042W	1228	1205	26	56.6712
YAL043C	2338	2315	30	34.0366
YAL044C	493	470	83	463.827
YAL044W-A	313	290	4	36.2275
YAL046C	337	314	6	50.1877
YAL047C	1849	1826	10	14.3839
YAL048C	1969	1946	5	6.74844
YAL049C	721	698	42	158.041
YAL051W	3124	3101	31	26.2564
YAL053W	2332	2309	90	102.375
YAL054C	2122	2099	278	347.863
YAL055W	523	500	8	42.0239
YAL056W	2623	2600	15	15.1528
YAL058W	1489	1466	5	8.95802
YAL059W	619	596	5	22.0343
YAL060W	1129	1106	50	118.738
YAL061W	1234	1211	366	793.803
YAL062W	1354	1331	133.244	262.934
YAL063C	3949	3926	2.0591	1.37754
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	0.822726	6.39315
YAL065C	367	344	0	0
YAL067C	1762	1739	9	13.5931
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	22	93.6512
YAR002W	1600	1577	17	28.3135
YAR003W	1261	1238	2	4.24312
YAR007C	1846	1823	47	67.7154
YAR008W	808	785	3	10.0375
YAR009C	3571	3548	0	0
YAR010C	1303	1280	6.18867	12.6988
YAR014C	2110	2087	17	21.3945
YAR015W	901	878	21	62.8204
YAR018C	1288	1265	5	10.3814
YAR019C	2905	2882	8	7.29075
YAR020C	148	125	0	0
YAR023C	520	497	0	0
YAR027W	688	665	16	63.1938
YAR028W	685	662	17	67.4477
YAR029W	205	182	1	14.4313
YAR031W	877	854	0	0
YAR033W	685	662	0	0
YAR035C-A	61	38	0	0
YAR035W	2044	2021	379	492.548
YAR042W	3547	3524	35	26.086
YAR050W	4594	4571	0	0
YAR064W	280	257	0	0
YAR066W	592	569	0	0
YAR068W	466	443	1.09315	6.48117
YAR071W	1384	1361	0	0
YBL001C	295	272	29	280.03
YBL002W	376	353	71.8774	534.803
YBL003C	379	356	62.9091	464.13
YBL004W	7462	7439	35	12.3575
YBL005W	2911	2888	9	8.18505
YBL005W-A	1303	1280	0	0
YBL005W-B	5248	5225	0	0
YBL006C	523	500	7	36.7709
YBL007C	3715	3692	108	76.8313
YBL008W	2503	2480	8	8.47255
YBL008W-A	220	197	0	0
YBL009W	2011	1988	9	11.8906
YBL010C	823	800	4	13.1325
YBL011W	2260	2237	4	4.69645
YBL013W	1186	1163	2	4.51675
YBL014C	2665	2642	5	4.97065
YBL015W	1561	1538	463	790.68
YBL016W	1042	1019	3	7.73256
YBL017C	4720	4697	36	20.1307
YBL018C	382	359	8	58.5291
YBL019W	1543	1520	8	13.8236
YBL020W	1705	1682	8	12.4922
YBL021C	415	392	4	26.8009
YBL022C	3382	3359	49	38.3144
YBL023C	2587	2564	12	12.2925
YBL024W	2035	2012	32	41.7732
YBL025W	418	395	2	13.2987
YBL026W	268	245	11	117.924
YBL027W	550	527	171.511	854.787
YBL028C	301	278	3	28.3434
YBL029C-A	265	242	13	141.093
YBL029W	1111	1088	24	57.9373
YBL030C	937	914	1131	3250.07
YBL031W	997	974	1	2.6966
YBL032W	1126	1103	18	42.8621
YBL033C	1018	995	48	126.705
YBL034C	4522	4499	17	9.92451
YBL035C	2098	2075	11	13.9236
YBL036C	754	731	19	68.2672
YBL037W	3058	3035	20	17.308
YBL038W	679	656	37	148.141
YBL039C	1720	1697	25	38.6932
YBL039W-B	160	137	4	76.6859
YBL040C	640	617	20	85.1375
YBL041W	706	683	56	215.349
YBL042C	1900	1877	5	6.99651
YBL043W	754	731	591	2123.47
YBL044W	349	326	0	0
YBL045C	1354	1331	249	491.357
YBL046W	1306	1283	11	22.5186
YBL047C	4126	4103	129	82.578
YBL049W	397	374	52	365.181
YBL050W	859	836	56	175.937
YBL051C	1987	1964	46	61.5166
YBL052C	2476	2453	2	2.14145
YBL054W	1558	1535	6	10.2664
YBL055C	1237	1214	14	30.289
YBL056W	1387	1364	35	67.3953
YBL057C	607	584	15	67.4613
YBL058W	1252	1229	54	115.403
YBL059C-A	310	287	9	82.3639
YBL059W	562	539	4	19.4916
YBL060W	2044	2021	4	5.1984
YBL061C	2071	2048	17	21.8019
YBL063W	3316	3293	3	2.3928
YBL064C	766	743	153	540.852
YBL066C	3427	3404	13	10.0307
YBL067C	2224	2201	12	14.3198
YBL068W	961	938	11	30.8011
YBL069W	1270	1247	17	35.8062
YBL071C-B	79	56	0	0
YBL071W-A	229	206	14	178.499
YBL072C	583	560	251.209	1178.21
YBL074C	1048	1025	5	12.8122
YBL075C	1930	1907	161	221.744
YBL076C	3199	3176	152	125.701
YBL078C	334	311	177	1494.82
YBL079W	4489	4466	23	13.5265
YBL080C	1606	1583	6	9.95512
YBL081W	1087	1064	1	2.46851
YBL082C	1357	1334	6	11.8133
YBL084C	2257	2234	16	18.811
YBL085W	2923	2900	12	10.8682
YBL086C	1381	1358	10	19.3409
YBL087C	394	371	97.973	693.599
YBL088C	8344	8321	4	1.26258
YBL089W	1360	1337	9	17.6802
YBL090W	514	491	9	48.1434
YBL091C	1246	1223	25	53.6895
YBL091C-A	508	485	3	16.2463
YBL092W	373	350	273	2048.66
YBL093C	643	620	20	84.7255
YBL095W	793	770	33	112.564
YBL097W	2245	2222	4	4.72816
YBL098W	1363	1340	9	17.6406
YBL099W	1618	1595	875	1440.87
YBL100W-A	1297	1274	0	0
YBL100W-B	5293	5270	0	0
YBL100W-C	100	77	0	0
YBL101C	3334	3311	52	41.2496
YBL102W	628	605	15	65.1196
YBL103C	1441	1418	13	24.0793
YBL104C	3097	3074	8	6.83537
YBL105C	3436	3413	25	19.2389
YBL106C	3013	2990	2	1.75685
YBL107C	571	548	4	19.1715
YBL108C-A	109	86	0	0
YBL111C	1984	1961	0	0
YBL112C	298	275	0	0
YBL113C	2359	2336	0	0
YBR001C	2323	2300	40.2368	45.9486
YBR002C	841	818	4	12.8435
YBR003W	1402	1379	5	9.52317
YBR004C	1282	1259	7	14.6032
YBR005W	622	599	11	48.2327
YBR006W	1474	1451	136	246.177
YBR007C	2191	2168	6	7.26889
YBR008C	1627	1604	0	0
YBR009C	292	269	153.797	1501.66
YBR010W	391	368	268.784	1918.37
YBR011C	844	821	346	1106.9
YBR012W-A	1303	1280	5.40225e-05	0.000110851
YBR012W-B	5251	5228	0	0
YBR013C	370	347	8	60.5531
YBR014C	592	569	25	115.399
YBR015C	1774	1751	33	49.4998
YBR016W	367	344	34	259.595
YBR017C	2737	2714	30	29.0327
YBR018C	1081	1058	0	0
YBR019C	2080	2057	0	0
YBR020W	1567	1544	1	1.7011
YBR021W	1882	1859	10	14.1285
YBR022W	514	491	3	16.0478
YBR023C	3478	3455	38	28.8876
YBR024W	886	863	12	36.5213
YBR025C	1165	1142	165	379.484
YBR026C	1123	1100	75	179.079
YBR028C	1558	1535	6	10.2664
YBR029C	1354	1331	22	43.4131
YBR030W	1639	1616	2	3.25061
YBR031W	1069	1046	322.683	810.252
YBR033W	2740	2717	23	22.2338
