target_id	length	eff_length	est_counts	tpm
H12I19.7.1	868	845	0	0
F58D2.3.1	466	443	0	0
Y57G11C.28.1	838	815	0	0
Y57G11B.8.1	268	245	0	0
Y62E10A.13f.1	844	821	76	67.1167
Y57G11C.24i.1	2809	2786	58	15.0941
H12I19.5.1	1747	1724	0	0
Y92H12A.2a.1	2155	2132	14	4.76103
C10C5.1g.1	7309	7286	138	13.7325
K04G2.5b.1	895	872	157	130.54
F28B3.4b.1	5026	5003	72	10.4343
M02B1.3b.1	949	926	144	112.749
Y57G11A.1e.1	2656	2633	18	4.95658
Y39G10AR.3a.1	2932	2909	0	0
F36H1.2e.1	4435	4412	41	6.73766
T25B9.5b.1	1621	1598	0.720546	0.326923
T14G10.1b.1	1945	1922	63	23.7655
Y23H5A.8a.1	85	62	0	0
F23C8.14a.1	208	185	1	3.91912
F59B8.1e.1	748	725	1	1.00005
ZK809.9c.1	1594	1571	0	0
ZK897.10b.1	157	134	0	0
M04B2.7j.1	670	647	0	0
Y39C12A.3b.1	928	905	0	0
Y51H4A.24.1	1438	1415	2.875	1.47313
M199.135.1	130	107	0	0
Y51H4A.25e.1	1672	1649	0	0
F09E10.7c.1	355	332	7	15.2869
Y51H4A.941.1	286	263	0	0
F10C1.9b.1	706	683	19	20.1694
F38C2.1b.1	337	314	0	0
M199.136.1	949	926	0	0
W10C8.1a.1	1171	1148	0	0
Y41E3.7h.1	1327	1304	69	38.3647
W03D8.14.1	418	395	0	0
C29F7.4a.1	1246	1223	39.5	23.417
Y105C5B.2a.1	3085	3062	0	0
Y105C5A.15c.1	2560	2537	2	0.571571
Y105C5B.6c.1	1000	977	1	0.742106
F10D2.3.1	727	704	0	0
Y49C4A.7.1	523	500	0	0
Y106G6D.5a.1	2011	1988	26	9.48238
Y52B11A.11.1	1006	983	0	0
F25H5.1i.1	2362	2339	67	20.7685
Y105E8A.25b.1	4840	4817	100	15.0516
T10E9.9b.1	1138	1115	0	0
T28F2.2b.1	532	509	17	24.2154
F54H5.14.1	1255	1232	0	0
K06A1.2a.1	1423	1400	0	0
F22G12.5c.1	6997	6974	111	11.5399
Y52E8A.4a.1	1351	1328	1	0.545962
K06A5.1b.1	2071	2048	32	11.3287
R151.1a.1	2071	2048	3	1.06207
W01B11.5d.1	1663	1640	2	0.884192
Y48G1BL.8.1	310	287	0.156119	0.394398
Y50D7A.13a.1	565	542	0	0
Y55B1BR.6a.1	508	485	2	2.98985
Y50D4B.1a.1	892	869	9	7.50902
T14B4.8b.1	919	896	0	0
F31F4.15a.1	1072	1049	34	23.4998
Y82E9BR.32.1	526	503	0	0
Y116A8C.36d.1	3244	3221	82	18.458
Y116A8C.470.1	142	119	0	0
F59A7.5c.1	823	800	8	7.25037
K10C9.4a.1	952	929	0	0
R09A1.2a.1	1126	1103	1	0.657332
T02B11.11.1	700	677	0	0
T10B5.4a.1	694	671	1	1.08053
T21H3.2b.1	2677	2654	3	0.81956
Y39D8B.1a.1	2206	2183	0	0
F33E11.2a.1	829	806	67	60.2699
Y50D4B.4a.1	2356	2333	96	29.8344
Y61A9LA.7a.1	376	353	0	0
R02C2.3a.1	2200	2177	0	0
R09A1.5a.1	298	275	2	5.273
T05A10.5b.1	1504	1481	1	0.489559
Y32G9A.2b.1	316	293	0	0
Y40B10A.5d.1	958	935	0	0
Y46H3C.1a.1	1063	1040	0	0
Y75B7AL.1a.1	1621	1598	2	0.907431
F52E10.4b.1	445	422	1	1.7181
F22H10.11.1	130	107	0	0
T03G11.1c.1	3946	3923	5	0.924085
K07A12.5b.1	1192	1169	1	0.62022
M01A10.2i.1	3748	3725	7	1.36249
D1069.4b.1	1141	1118	2	1.29703
W01C9.5b.1	823	800	1	0.906297
F35G12.5a.1	1120	1097	44	29.0808
R13A5.11.1	1360	1337	1	0.542287
K11D2.1b.1	817	794	2	1.82629
M05B5.3b.1	1384	1361	0	0
T23B3.8.1	247	224	0	0
ZK1236.9b.1	613	590	1	1.22888
K10G6.3g.1	5887	5864	46	5.68754
W07G9.2b.1	1060	1037	6	4.19501
F56E10.1b.1	6145	6122	101	11.9616
F09E5.15c.1	586	563	1289	1659.99
T01D1.2l.1	1750	1727	71	29.8076
T01D1.8b.1	550	527	1	1.37578
T19H5.1b.1	1432	1409	2	1.02915
Y37B11A.2a.1	3892	3869	12	2.24876
F16H6.4a.1	1288	1265	0	0
F22F7.6.1	1201	1178	0	0
F36H9.10.1	775	752	0	0
Y66D12A.16c.1	562	539	29	39.0094
F59A7.14.1	190	167	0	0
K11D12.10c.1	3160	3137	15	3.46687
T06A1.4c.1	556	533	1	1.3603
Y32G9A.6d.1	2485	2462	0	0
Y50D4B.2b.1	736	713	1	1.01688
F16B3.1b.1	2860	2837	0	0
F22F7.12.1	424	401	0	0
F52H2.2b.1	1570	1547	21	9.84214
R04A9.9a.1	367	344	6	12.646
M02H5.8a.1	253	230	26	81.9608
R02C2.4b.1	1309	1286	1	0.563793
R11G11.16.1	238	215	0	0
T02B11.12.1	691	668	0	0
T08B1.1b.1	1819	1796	30	12.1109
Y75B7AL.4c.1	3388	3365	148.272	31.9474
F57C7.1a.1	3610	3587	60	12.1278
K09E9.1b.1	1537	1514	7	3.35222
Y102A11A.9a.1	1387	1364	1	0.531552
T23D8.1b.1	1693	1670	149	64.689
Y47G6A.23d.1	12049	12026	88	5.30545
F48E8.8b.1	613	590	0	0
R01H2.4a.1	1537	1514	0	0
Y111B2A.14c.1	4330	4307	71	11.9521
Y53G8AL.4b.1	262	239	0	0
ZK353.10b.1	262	239	0	0
T02D1.6a.1	1366	1343	4	2.15946
W07G4.6b.1	1216	1193	0	0
Y108G3AL.7b.1	4927	4904	75	11.0885
F22F7.4a.1	1567	1544	2	0.939168
F31F4.1b.1	1051	1028	1	0.705289
F36F12.3d.1	736	713	0	0
F48G7.6a.1	985	962	0	0
F52F10.4a.1	2104	2081	9	3.13567
H24K24.2a.1	1402	1379	6	3.15462
K04A8.4a.1	1270	1247	0	0
T02B11.13.1	739	716	0	0
Y40B10A.11.1	229	206	0	0
Y46H3A.4a.1	199	176	1	4.11953
Y73C8A.1b.1	973	950	1	0.763197
F52B10.3a.1	1006	983	0	0
K12D9.11.1	205	182	0	0
F54D7.7.1	49	26	199	5549.33
F15E11.11a.1	1273	1250	0	0
W02H5.11a.1	1024	1001	0	0
F37B4.10a.1	841	818	11	9.74989
W02H5.7a.1	1138	1115	0	0
T27A1.3b.1	997	974	2	1.48878
Y39F10C.1b.1	1183	1160	0	0
F41B5.7a.1	1465	1442	0	0
F54E2.9.1	976	953	0	0
T27A1.2b.1	1009	986	1	0.735332
F56A4.10a.1	1393	1370	6	3.17535
R05D8.2b.1	988	965	0	0
W02G9.5a.1	1543	1520	20	9.53997
Y19D10A.11a.1	1378	1355	10	5.35083
W08F4.12b.1	331	308	1	2.35402
M176.9b.1	1612	1589	1	0.456285
M01D1.12.1	736	713	0	0
Y37A1B.1a.1	3628	3605	209	42.0341
F45D11.11.1	847	824	0	0
F46F5.1b.1	661	638	0	0
K08D9.4a.1	916	893	0	0
R07C3.2a.1	898	875	11	9.11476
K08D9.10.1	58	35	0	0
T28A11.25.1	583	560	3	3.88413
T23F4.2b.1	622	599	6	7.26248
R07C3.11a.1	1216	1193	6	3.64646
Y39F10A.6.1	268	245	0	0
F49B2.9.1	370	347	0	0
F45D11.7.1	763	740	0	0
K12B6.1.1	2626	2603	87	24.2329
F56A6.1a.1	2644	2621	393	108.714
K03D10.3a.1	1582	1559	26	12.0917
F54F2.14.1	103	80	0	0
F26D11.10b.1	1672	1649	0	0
F33D11.16a.1	169	146	0	0
K08A8.3a.1	1774	1751	45	18.6332
F29A7.1a.1	964	941	2	1.54099
F45C12.11a.1	814	791	7	6.41626
R06A4.4c.1	2650	2627	222	61.2708
W09B6.4c.1	751	728	38	37.8454
F59H6.15.1	295	272	0	0
