collision_young	elongation_young	collision_old	elongation_old	dwelltime_young	dwelltime_old
0.0	6.0	0.0	18.0	0.04537895	0.06477046666666668
1.0	6.0	0.0	19.0	1.5861123833333333	1.2829151263157896
0.0	6.0	0.0	19.0	0.08074721666666666	0.09168317368421053
0.0	6.0	1.0	19.0	0.03075176666666667	0.07063861052631579
0.0	7.0	1.0	19.0	0.050863671428571434	0.13167197894736843
0.0	7.0	0.0	19.0	0.03665581428571429	0.05112237894736842
0.0	7.0	0.0	19.0	0.14229931428571427	0.15406756842105263
0.0	7.0	0.0	19.0	0.13527872857142856	0.08743480526315789
0.0	7.0	0.0	19.0	0.16146342857142856	0.2069948947368421
0.0	7.0	0.0	19.0	0.09722824285714284	0.07615933157894737
0.0	7.0	3.0	18.0	0.1082103	0.2956543333333333
0.0	7.0	1.0	18.0	0.15066727142857145	0.2046719277777778
0.0	7.0	0.0	17.0	0.3761278571428571	0.7708403117647059
0.0	7.0	2.0	17.0	0.05846442857142857	0.2092067411764706
0.0	7.0	0.0	17.0	0.08660812857142856	0.08151446470588236
0.0	7.0	2.0	17.0	0.39340984285714287	0.38048552352941173
0.0	7.0	0.0	17.0	0.07701595714285715	0.049673070588235294
0.0	7.0	0.0	17.0	0.03555282857142857	0.0437843
0.0	7.0	0.0	17.0	0.052697357142857136	0.09055750588235295
0.0	7.0	1.0	17.0	0.09686755714285715	0.0915054705882353
0.0	7.0	2.0	17.0	2.0954666428571427	1.3379134411764706
0.0	7.0	0.0	17.0	0.09499144285714285	0.16125303529411766
0.0	7.0	1.0	17.0	0.24488024285714285	0.2594937294117647
0.0	7.0	0.0	17.0	0.2402312857142857	0.5657761411764705
0.0	7.0	3.0	17.0	0.09337910000000002	0.26798040000000006
0.0	7.0	0.0	17.0	0.07512475714285714	0.08799245882352941
0.0	7.0	1.0	17.0	0.025471928571428572	0.04293023529411765
0.0	7.0	2.0	17.0	0.023442442857142858	0.031619170588235296
0.0	7.0	2.0	17.0	0.06865768571428572	0.07731389411764707
0.0	7.0	0.0	17.0	0.25468529999999995	0.27852202352941174
0.0	7.0	1.0	17.0	0.08194755714285715	0.06929935882352942
0.0	7.0	1.0	17.0	0.10609244285714288	0.1549428117647059
0.0	7.0	2.0	17.0	0.9607214571428572	0.9329807823529411
0.0	7.0	1.0	17.0	0.0809949	0.05754855882352941
0.0	6.0	1.0	17.0	0.9819681666666669	1.9964257058823534
0.0	6.0	0.0	17.0	0.05908803333333334	0.07985778235294118
0.0	6.0	0.0	17.0	0.072258	0.159961
0.0	6.0	1.0	17.0	0.058739099999999995	0.09547891176470588
0.0	6.0	1.0	17.0	0.08130721666666667	0.1300258176470588
0.0	6.0	1.0	17.0	0.13075316666666667	0.08856360588235293
0.0	6.0	2.0	17.0	0.16666985	0.21081911176470586
0.0	6.0	2.0	17.0	0.27499504999999996	0.13346729411764705
0.0	6.0	1.0	18.0	0.07921021666666668	0.14370999999999995
0.0	6.0	3.0	19.0	0.0579036	0.1008702894736842
0.0	6.0	1.0	19.0	0.2758773	0.2245237157894737
0.0	6.0	1.0	19.0	0.3280284333333333	0.29331998947368426
0.0	6.0	0.0	19.0	0.03595195	0.03895565263157894
0.0	6.0	0.0	19.0	1.3355655333333332	1.1881434473684211
0.0	6.0	0.0	18.0	0.10968678333333333	0.05770660000000002
0.0	6.0	0.0	18.0	0.08601831666666666	0.06598034444444444
0.0	6.0	6.0	17.0	0.0892307	1.3722313823529413
0.0	6.0	4.0	17.0	0.08568843333333333	0.15984919411764706
0.0	6.0	0.0	18.0	0.08376143333333334	0.1803522388888889
0.0	6.0	1.0	18.0	0.06339795	0.20145283333333333
0.0	6.0	0.0	18.0	0.07531376666666666	0.07589712777777778
0.0	6.0	3.0	17.0	0.10686390000000001	0.2123875588235294
0.0	6.0	0.0	17.0	0.019829116666666664	0.04345373529411765
0.0	6.0	4.0	17.0	0.2488867	0.2927508588235294
0.0	6.0	2.0	17.0	0.11668136666666667	0.1845121529411765
0.0	6.0	0.0	17.0	0.05600966666666666	0.11432722941176472
0.0	8.0	0.0	17.0	4.9426580375	5.1788859
0.0	8.0	0.0	17.0	0.173460375	0.19180557058823527
0.0	8.0	0.0	17.0	0.33941563750000003	0.13832758235294115
0.0	8.0	1.0	17.0	0.044250512500000005	0.14480281176470589
0.0	8.0	0.0	17.0	0.06233	0.07820725294117647
0.0	8.0	1.0	17.0	0.25187775	0.42597099411764705
0.0	8.0	1.0	16.0	0.16052276249999997	0.15410089999999999
0.0	8.0	0.0	15.0	0.5755741249999999	0.27011962
0.0	8.0	1.0	15.0	0.0400766625	0.16634069333333334
0.0	8.0	0.0	15.0	0.19282607499999999	0.17097808666666664
0.0	8.0	1.0	15.0	0.05018945	0.04460665333333334
0.0	8.0	3.0	15.0	0.0547581625	0.8899881733333336
0.0	8.0	2.0	15.0	0.06979292499999999	0.11373456666666668
0.0	8.0	0.0	15.0	0.47344331250000005	0.7805115466666666
0.0	8.0	1.0	15.0	0.060301975	0.07478459333333334
0.0	9.0	0.0	16.0	1.0496466444444446	1.67300226875
0.0	9.0	0.0	16.0	0.11176458888888889	0.10674945625000001
0.0	9.0	0.0	16.0	0.10310085555555555	0.14954951875
0.0	9.0	0.0	15.0	0.6520285222222221	0.8480960466666666
0.0	9.0	0.0	15.0	0.05654057777777778	0.08741067333333333
0.0	9.0	0.0	15.0	0.021967355555555554	0.04179102
0.0	9.0	0.0	13.0	1.1234801333333335	1.7982688769230772
0.0	9.0	0.0	13.0	0.09199207777777778	0.0939386769230769
0.0	9.0	0.0	13.0	0.10391212222222222	0.07128456153846154
0.0	9.0	0.0	13.0	0.4451976555555555	0.11473148461538463
0.0	9.0	0.0	13.0	0.07446104444444444	0.08023179230769231
0.0	10.0	0.0	13.0	0.08437428	0.12262895384615385
0.0	10.0	0.0	14.0	0.05588057999999999	0.07254507857142857
0.0	10.0	0.0	14.0	0.12678584999999998	0.1290121142857143
0.0	10.0	0.0	14.0	0.10411219999999999	0.11595747857142857
0.0	10.0	0.0	14.0	0.0742001	0.053587578571428575
0.0	10.0	0.0	14.0	0.045311939999999995	0.04168898571428571
0.0	10.0	0.0	14.0	0.12134885000000002	0.14277571428571428
0.0	9.0	0.0	14.0	0.18529178888888886	0.17664732142857145
0.0	9.0	0.0	15.0	0.39423369999999996	0.15516394000000003
0.0	9.0	0.0	15.0	0.35484214444444445	0.45997927999999993
0.0	9.0	0.0	15.0	0.03875813333333333	0.07906742666666666
0.0	9.0	0.0	15.0	0.15550446666666667	0.11568026666666668
0.0	9.0	0.0	15.0	0.06342846666666666	0.048446446666666663
0.0	9.0	0.0	15.0	0.2599847	0.39802214
0.0	9.0	0.0	15.0	0.03380623333333333	0.03379559333333334
0.0	9.0	0.0	15.0	0.1898548	0.18558220666666667
0.0	9.0	0.0	15.0	0.060803355555555556	0.09951226666666665
0.0	9.0	0.0	15.0	0.11117687777777777	0.12115752
0.0	8.0	0.0	15.0	0.0360341	0.06600550666666667
1.0	8.0	1.0	15.0	0.14693245	0.24866011333333335
1.0	8.0	0.0	15.0	0.8299089249999999	0.4767748133333333
0.0	8.0	0.0	15.0	0.0933445125	0.11396350000000002
0.0	8.0	0.0	15.0	0.08516577500000001	0.07066348666666666
0.0	8.0	0.0	15.0	0.021139862500000002	0.06798138000000001
0.0	8.0	0.0	14.0	0.44513484999999997	0.2887262857142857
0.0	8.0	0.0	15.0	0.707266575	0.5799818666666667
0.0	8.0	0.0	16.0	0.14112760000000002	0.09562028125
0.0	8.0	0.0	16.0	0.03349215	0.044947843749999994
0.0	8.0	1.0	16.0	0.0400062125	0.10069451249999999
0.0	9.0	0.0	16.0	1.4254770555555556	1.2962972875
