target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	22	14.6351
YAL002W	3805	3782	11	6.65584
YAL003W	601	578	441	1745.99
YAL005C	1909	1886	3360.44	4077.42
YAL007C	628	605	16	60.5196
YAL008W	577	554	26	107.398
YAL009W	760	737	2	6.21004
YAL010C	1462	1439	5	7.95135
YAL011W	1858	1835	11	13.7179
YAL012W	1165	1142	192	384.739
YAL013W	1198	1175	16	31.1612
YAL014C	748	725	12	37.8769
YAL015C	1180	1157	13	25.7123
YAL016W	1888	1865	109	133.746
YAL017W	4051	4028	50	28.4061
YAL018C	958	935	0	0
YAL019W	3376	3353	27	18.4273
YAL020C	982	959	1	2.38623
YAL021C	2494	2471	37	34.2658
YAL022C	1534	1511	12	18.1739
YAL023C	2260	2237	59	60.3556
YAL024C	4288	4265	7	3.75587
YAL025C	901	878	19	49.5211
YAL026C	4048	4025	37	21.0362
YAL027W	766	743	4	12.3198
YAL028W	1567	1544	0	0
YAL029C	4396	4373	23	12.0359
YAL030W	334	311	7	51.5074
YAL031C	2263	2240	23	23.4969
YAL032C	1120	1097	23	47.9792
YAL033W	502	479	8	38.2196
YAL034C	1222	1199	131	250.025
YAL034W-A	850	827	5	13.8355
YAL035W	2989	2966	94	72.5251
YAL036C	1090	1067	18	38.6047
YAL037C-A	73	50	0	0
YAL037W	784	761	6	18.0426
YAL038W	1483	1460	2362	3702.19
YAL039C	790	767	43	128.294
YAL040C	1723	1700	12	16.1534
YAL041W	2545	2522	37	33.5729
YAL042W	1228	1205	26	49.3762
YAL043C	2338	2315	15	14.8276
YAL044C	493	470	121	589.141
YAL044W-A	313	290	10	78.9103
YAL046C	337	314	8	58.3031
YAL047C	1849	1826	13	16.292
YAL048C	1969	1946	9	10.5835
YAL049C	721	698	45	147.533
YAL051W	3124	3101	33	24.3525
YAL053W	2332	2309	186	184.34
YAL054C	2122	2099	355	387.033
YAL055W	523	500	7	32.0376
YAL056W	2623	2600	23	20.2435
YAL058W	1489	1466	11	17.1708
YAL059W	619	596	4	15.3584
YAL060W	1129	1106	50	103.454
YAL061W	1234	1211	574	1084.67
YAL062W	1354	1331	142	244.142
YAL063C	3949	3926	1.67476	0.976189
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	0	0
YAL065C	367	344	1.69	11.2424
YAL067C	1762	1739	1	1.31593
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	31	114.976
YAR002W	1600	1577	25	36.2777
YAR003W	1261	1238	12	22.1816
YAR007C	1846	1823	36	45.1905
YAR008W	808	785	0	0
YAR009C	3571	3548	0	0
YAR010C	1303	1280	0.1289	0.230449
YAR014C	2110	2087	13	14.2545
YAR015W	901	878	27	70.3722
YAR018C	1288	1265	6	10.8541
YAR019C	2905	2882	10	7.94031
YAR020C	148	125	0	0
YAR023C	520	497	2	9.20885
YAR027W	688	665	22	75.7064
YAR028W	685	662	21	72.5927
YAR029W	205	182	0	0
YAR031W	877	854	1.56927	4.20505
YAR033W	685	662	3	10.3704
YAR035C-A	61	38	0	0
YAR035W	2044	2021	364	412.161
YAR042W	3547	3524	34	22.0788
YAR050W	4594	4571	1.74299	0.8726
YAR064W	280	257	0	0
YAR066W	592	569	0	0
YAR068W	466	443	1.23994	6.40514
YAR071W	1384	1361	0	0
YBL001C	295	272	43	361.769
YBL002W	376	353	71.7403	465.072
YBL003C	379	356	95.7419	615.437
YBL004W	7462	7439	50	15.3811
YBL005W	2911	2888	4	3.16953
YBL005W-A	1303	1280	10.3176	18.4459
YBL005W-B	5248	5225	19.454	8.52027
YBL006C	523	500	9	41.1912
YBL007C	3715	3692	119	73.7593
YBL008W	2503	2480	7	6.45919
YBL008W-A	220	197	0	0
YBL009W	2011	1988	5	5.75553
YBL010C	823	800	5	14.3025
YBL011W	2260	2237	15	15.3446
YBL013W	1186	1163	1	1.96767
YBL014C	2665	2642	6	5.19697
YBL015W	1561	1538	429	638.311
YBL016W	1042	1019	4	8.98292
YBL017C	4720	4697	74	36.0531
YBL018C	382	359	5	31.8718
YBL019W	1543	1520	16	24.0884
YBL020W	1705	1682	16	21.7684
YBL021C	415	392	3	17.5133
YBL022C	3382	3359	57	38.8326
YBL023C	2587	2564	18	16.0652
YBL024W	2035	2012	31	35.2586
YBL025W	418	395	3	17.3802
YBL026W	268	245	10	93.404
YBL027W	550	527	231.722	1006.21
YBL028C	301	278	5	41.1582
YBL029C-A	265	242	22	208.036
YBL029W	1111	1088	11	23.1364
YBL030C	937	914	934	2338.47
YBL031W	997	974	1	2.34948
YBL032W	1126	1103	27	56.017
YBL033C	1018	995	62	142.594
YBL034C	4522	4499	27	13.7334
YBL035C	2098	2075	23	25.3654
YBL036C	754	731	25	78.2626
YBL037W	3058	3035	44	33.1761
