target_id	length	eff_length	est_counts	tpm
H12I19.7.1	868	845	0	0
F58D2.3.1	466	443	0	0
Y57G11C.28.1	838	815	0	0
Y57G11B.8.1	268	245	0	0
Y62E10A.13f.1	844	821	6	66.6867
Y57G11C.24i.1	2809	2786	4	13.1012
H12I19.5.1	1747	1724	0	0
Y92H12A.2a.1	2155	2132	2	8.56
C10C5.1g.1	7309	7286	10	12.524
K04G2.5b.1	895	872	11	115.108
F28B3.4b.1	5026	5003	6	10.9434
M02B1.3b.1	949	926	10	98.5417
Y57G11A.1e.1	2656	2633	2	6.93122
Y39G10AR.3a.1	2932	2909	0	0
F36H1.2e.1	4435	4412	3	6.20464
T25B9.5b.1	1621	1598	0	0
T14G10.1b.1	1945	1922	3	14.2429
Y23H5A.8a.1	85	62	0	0
F23C8.14a.1	208	185	0	0
F59B8.1e.1	748	725	0	0
ZK809.9c.1	1594	1571	0	0
ZK897.10b.1	157	134	0	0
M04B2.7j.1	670	647	0	0
Y39C12A.3b.1	928	905	0	0
Y51H4A.24.1	1438	1415	0	0
M199.135.1	130	107	0	0
Y51H4A.25e.1	1672	1649	0	0
F09E10.7c.1	355	332	0	0
Y51H4A.941.1	286	263	0	0
F10C1.9b.1	706	683	1	13.3601
F38C2.1b.1	337	314	0	0
M199.136.1	949	926	0	0
W10C8.1a.1	1171	1148	0	0
Y41E3.7h.1	1327	1304	6	41.986
W03D8.14.1	418	395	0	0
C29F7.4a.1	1246	1223	2.66667	19.8963
Y105C5B.2a.1	3085	3062	0	0
Y105C5A.15c.1	2560	2537	0	0
Y105C5B.6c.1	1000	977	0	0
F10D2.3.1	727	704	0	0
Y49C4A.7.1	523	500	0	0
Y106G6D.5a.1	2011	1988	2	9.18004
Y52B11A.11.1	1006	983	3.09422	28.7229
F25H5.1i.1	2362	2339	3	11.7037
Y105E8A.25b.1	4840	4817	10	18.9432
T10E9.9b.1	1138	1115	0	0
T28F2.2b.1	532	509	1	17.9272
F54H5.14.1	1255	1232	0	0
K06A1.2a.1	1423	1400	0	0
F22G12.5c.1	6997	6974	8	10.4674
Y52E8A.4a.1	1351	1328	0	0
K06A5.1b.1	2071	2048	1	4.45555
R151.1a.1	2071	2048	1	4.45555
W01B11.5d.1	1663	1640	0	0
Y48G1BL.8.1	310	287	0	0
Y50D7A.13a.1	565	542	0	0
Y55B1BR.6a.1	508	485	0	0
Y50D4B.1a.1	892	869	1	10.5005
T14B4.8b.1	919	896	0	0
F31F4.15a.1	1072	1049	1	8.69872
Y82E9BR.32.1	526	503	0	0
Y116A8C.36d.1	3244	3221	6	16.9977
Y116A8C.470.1	142	119	0	0
F59A7.5c.1	823	800	2	22.8124
K10C9.4a.1	952	929	0	0
R09A1.2a.1	1126	1103	0	0
T02B11.11.1	700	677	0	0
T10B5.4a.1	694	671	0	0
T21H3.2b.1	2677	2654	0	0
Y39D8B.1a.1	2206	2183	0	0
F33E11.2a.1	829	806	6	67.9277
Y50D4B.4a.1	2356	2333	10	39.1125
Y61A9LA.7a.1	376	353	0	0
R02C2.3a.1	2200	2177	0	0
R09A1.5a.1	298	275	0	0
T05A10.5b.1	1504	1481	0	0
Y32G9A.2b.1	316	293	0	0
Y40B10A.5d.1	958	935	0	0
Y46H3C.1a.1	1063	1040	0	0
Y75B7AL.1a.1	1621	1598	0	0
F52E10.4b.1	445	422	0	0
F22H10.11.1	130	107	0	0
T03G11.1c.1	3946	3923	1	2.32601
K07A12.5b.1	1192	1169	0	0
M01A10.2i.1	3748	3725	0	0
D1069.4b.1	1141	1118	1	8.16186
W01C9.5b.1	823	800	0	0
F35G12.5a.1	1120	1097	2	16.6362
R13A5.11.1	1360	1337	0	0
K11D2.1b.1	817	794	0	0
M05B5.3b.1	1384	1361	0	0
T23B3.8.1	247	224	0	0
ZK1236.9b.1	613	590	0	0
K10G6.3g.1	5887	5864	5	7.78049
W07G9.2b.1	1060	1037	2	17.5988
F56E10.1b.1	6145	6122	5	7.45259
F09E5.15c.1	586	563	86	1393.87
T01D1.2l.1	1750	1727	3	15.8511
T01D1.8b.1	550	527	0	0
T19H5.1b.1	1432	1409	0	0
Y37B11A.2a.1	3892	3869	5	11.7924
F16H6.4a.1	1288	1265	0	0
F22F7.6.1	1201	1178	0	0
F36H9.10.1	775	752	0	0
Y66D12A.16c.1	562	539	0	0
F59A7.14.1	190	167	0	0
K11D12.10c.1	3160	3137	6	17.4529
T06A1.4c.1	556	533	0	0
Y32G9A.6d.1	2485	2462	0	0
Y50D4B.2b.1	736	713	0	0
F16B3.1b.1	2860	2837	0	0
F22F7.12.1	424	401	0	0
F52H2.2b.1	1570	1547	2	11.797
R04A9.9a.1	367	344	0	0
M02H5.8a.1	253	230	1	39.6737
R02C2.4b.1	1309	1286	0	0
R11G11.16.1	238	215	0	0
T02B11.12.1	691	668	0	0
T08B1.1b.1	1819	1796	0	0
Y75B7AL.4c.1	3388	3365	7	18.9821
F57C7.1a.1	3610	3587	5	12.7195
K09E9.1b.1	1537	1514	0	0
Y102A11A.9a.1	1387	1364	0	0
T23D8.1b.1	1693	1670	10	54.6405
Y47G6A.23d.1	12049	12026	6	4.55261
F48E8.8b.1	613	590	0	0
R01H2.4a.1	1537	1514	0	0
Y111B2A.14c.1	4330	4307	3	6.3559
Y53G8AL.4b.1	262	239	0	0
ZK353.10b.1	262	239	0	0
T02D1.6a.1	1366	1343	0	0
W07G4.6b.1	1216	1193	0	0
Y108G3AL.7b.1	4927	4904	7	13.025
F22F7.4a.1	1567	1544	0	0
F31F4.1b.1	1051	1028	0	0
F36F12.3d.1	736	713	0	0
F48G7.6a.1	985	962	0	0
F52F10.4a.1	2104	2081	0	0
H24K24.2a.1	1402	1379	1	6.61708
K04A8.4a.1	1270	1247	0	0
T02B11.13.1	739	716	0	0
Y40B10A.11.1	229	206	0	0
Y46H3A.4a.1	199	176	0	0
Y73C8A.1b.1	973	950	0	0
F52B10.3a.1	1006	983	0	0
K12D9.11.1	205	182	0	0
F54D7.7.1	49	26	13	4562.48
F15E11.11a.1	1273	1250	1	7.29997
W02H5.11a.1	1024	1001	0	0
F37B4.10a.1	841	818	1	11.1552
W02H5.7a.1	1138	1115	0	0
T27A1.3b.1	997	974	0	0
Y39F10C.1b.1	1183	1160	0	0
F41B5.7a.1	1465	1442	0	0
F54E2.9.1	976	953	0	0
T27A1.2b.1	1009	986	0	0
F56A4.10a.1	1393	1370	0	0
R05D8.2b.1	988	965	0	0
W02G9.5a.1	1543	1520	1	6.00326
Y19D10A.11a.1	1378	1355	1	6.73429
W08F4.12b.1	331	308	0	0
M176.9b.1	1612	1589	0	0
M01D1.12.1	736	713	0	0
Y37A1B.1a.1	3628	3605	20	50.6239
F45D11.11.1	847	824	0	0
F46F5.1b.1	661	638	0	0
K08D9.4a.1	916	893	0	0
R07C3.2a.1	898	875	0	0
K08D9.10.1	58	35	0	0
T28A11.25.1	583	560	0	0
T23F4.2b.1	622	599	0	0
R07C3.11a.1	1216	1193	0	0
Y39F10A.6.1	268	245	0	0
F49B2.9.1	370	347	0	0
F45D11.7.1	763	740	0	0
K12B6.1.1	2626	2603	10	35.0555
F56A6.1a.1	2644	2621	47	163.63
K03D10.3a.1	1582	1559	4	23.4123
F54F2.14.1	103	80	0	0
F26D11.10b.1	1672	1649	0	0
F33D11.16a.1	169	146	0	0
K08A8.3a.1	1774	1751	1	5.21128
F29A7.1a.1	964	941	1	9.69708
F45C12.11a.1	814	791	3	34.6079
R06A4.4c.1	2650	2627	19	65.997
W09B6.4c.1	751	728	2	25.0686
F59H6.15.1	295	272	0	0
T22C8.7a.1	1690	1667	0	0
F08F8.11.1	352	329	0	0
F41F3.9.1	247	224	0	0
T15B7.11a.1	1042	1019	0	0
T20D4.3b.1	2044	2021	0	0
T24A6.9a.1	1225	1202	0	0
D2021.1a.1	3421	3398	3	8.05617
F10D2.8b.1	1465	1442	0	0
